id,month,label
1,1993-07-01,training
2,1993-07-01,joblessness
3,1993-07-01,joblessness
4,1993-07-01,training
5,1993-07-01,joblessness
6,1993-07-01,joblessness
7,1993-07-01,joblessness
8,1993-07-01,employment
9,1993-07-01,joblessness
10,1993-07-01,employment
11,1993-07-01,joblessness
12,1993-07-01,employment
13,1993-07-01,joblessness
14,1993-07-01,joblessness
15,1993-07-01,training
16,1993-07-01,joblessness
17,1993-07-01,joblessness
18,1993-07-01,joblessness
19,1993-07-01,training
20,1993-07-01,training
21,1993-07-01,training
22,1993-07-01,training
23,1993-07-01,joblessness
24,1993-07-01,employment
25,1993-07-01,joblessness
26,1993-07-01,employment
27,1993-07-01,employment
28,1993-07-01,employment
29,1993-07-01,training
30,1993-07-01,employment
31,1993-07-01,employment
32,1993-07-01,joblessness
33,1993-07-01,employment
34,1993-07-01,school
35,1993-07-01,school
36,1993-07-01,school
37,1993-07-01,school
38,1993-07-01,training
39,1993-07-01,joblessness
40,1993-07-01,training
41,1993-07-01,training
42,1993-07-01,employment
43,1993-07-01,school
44,1993-07-01,school
45,1993-07-01,school
46,1993-07-01,FE
47,1993-07-01,school
48,1993-07-01,school
49,1993-07-01,school
50,1993-07-01,school
51,1993-07-01,school
52,1993-07-01,school
53,1993-07-01,school
54,1993-07-01,FE
55,1993-07-01,training
56,1993-07-01,FE
57,1993-07-01,school
58,1993-07-01,FE
59,1993-07-01,training
60,1993-07-01,training
61,1993-07-01,joblessness
62,1993-07-01,FE
63,1993-07-01,school
64,1993-07-01,joblessness
65,1993-07-01,training
66,1993-07-01,training
67,1993-07-01,joblessness
68,1993-07-01,employment
69,1993-07-01,employment
70,1993-07-01,employment
71,1993-07-01,employment
72,1993-07-01,joblessness
73,1993-07-01,employment
74,1993-07-01,joblessness
75,1993-07-01,school
76,1993-07-01,training
77,1993-07-01,FE
78,1993-07-01,training
79,1993-07-01,school
80,1993-07-01,school
81,1993-07-01,FE
82,1993-07-01,employment
83,1993-07-01,FE
84,1993-07-01,training
85,1993-07-01,joblessness
86,1993-07-01,training
87,1993-07-01,joblessness
88,1993-07-01,training
89,1993-07-01,joblessness
90,1993-07-01,joblessness
91,1993-07-01,employment
92,1993-07-01,training
93,1993-07-01,training
94,1993-07-01,training
95,1993-07-01,training
96,1993-07-01,training
97,1993-07-01,training
98,1993-07-01,employment
99,1993-07-01,employment
100,1993-07-01,joblessness
101,1993-07-01,training
102,1993-07-01,joblessness
103,1993-07-01,joblessness
104,1993-07-01,joblessness
105,1993-07-01,training
106,1993-07-01,training
107,1993-07-01,joblessness
108,1993-07-01,joblessness
109,1993-07-01,FE
110,1993-07-01,training
111,1993-07-01,employment
112,1993-07-01,FE
113,1993-07-01,employment
114,1993-07-01,FE
115,1993-07-01,FE
116,1993-07-01,employment
117,1993-07-01,FE
118,1993-07-01,training
119,1993-07-01,FE
120,1993-07-01,employment
121,1993-07-01,training
122,1993-07-01,joblessness
123,1993-07-01,joblessness
124,1993-07-01,employment
125,1993-07-01,joblessness
126,1993-07-01,training
127,1993-07-01,training
128,1993-07-01,training
129,1993-07-01,employment
130,1993-07-01,joblessness
131,1993-07-01,training
132,1993-07-01,training
133,1993-07-01,joblessness
134,1993-07-01,employment
135,1993-07-01,employment
136,1993-07-01,training
137,1993-07-01,employment
138,1993-07-01,training
139,1993-07-01,joblessness
140,1993-07-01,joblessness
141,1993-07-01,employment
142,1993-07-01,FE
143,1993-07-01,school
144,1993-07-01,school
145,1993-07-01,FE
146,1993-07-01,FE
147,1993-07-01,training
148,1993-07-01,training
149,1993-07-01,joblessness
150,1993-07-01,employment
151,1993-07-01,FE
152,1993-07-01,joblessness
153,1993-07-01,employment
154,1993-07-01,joblessness
155,1993-07-01,joblessness
156,1993-07-01,training
157,1993-07-01,employment
158,1993-07-01,FE
159,1993-07-01,FE
160,1993-07-01,training
161,1993-07-01,training
162,1993-07-01,joblessness
163,1993-07-01,employment
164,1993-07-01,employment
165,1993-07-01,employment
166,1993-07-01,employment
167,1993-07-01,joblessness
168,1993-07-01,joblessness
169,1993-07-01,employment
170,1993-07-01,employment
171,1993-07-01,training
172,1993-07-01,joblessness
173,1993-07-01,joblessness
174,1993-07-01,joblessness
175,1993-07-01,joblessness
176,1993-07-01,joblessness
177,1993-07-01,joblessness
178,1993-07-01,joblessness
179,1993-07-01,joblessness
180,1993-07-01,employment
181,1993-07-01,joblessness
182,1993-07-01,employment
183,1993-07-01,employment
184,1993-07-01,joblessness
185,1993-07-01,joblessness
186,1993-07-01,employment
187,1993-07-01,joblessness
188,1993-07-01,joblessness
189,1993-07-01,joblessness
190,1993-07-01,joblessness
191,1993-07-01,training
192,1993-07-01,employment
193,1993-07-01,training
194,1993-07-01,employment
195,1993-07-01,training
196,1993-07-01,joblessness
197,1993-07-01,employment
198,1993-07-01,employment
199,1993-07-01,joblessness
200,1993-07-01,joblessness
201,1993-07-01,employment
202,1993-07-01,employment
203,1993-07-01,joblessness
204,1993-07-01,employment
205,1993-07-01,training
206,1993-07-01,joblessness
207,1993-07-01,employment
208,1993-07-01,employment
209,1993-07-01,employment
210,1993-07-01,employment
211,1993-07-01,joblessness
212,1993-07-01,employment
213,1993-07-01,employment
214,1993-07-01,FE
215,1993-07-01,FE
216,1993-07-01,FE
217,1993-07-01,FE
218,1993-07-01,FE
219,1993-07-01,school
220,1993-07-01,FE
221,1993-07-01,training
222,1993-07-01,employment
223,1993-07-01,joblessness
224,1993-07-01,employment
225,1993-07-01,employment
226,1993-07-01,employment
227,1993-07-01,training
228,1993-07-01,employment
229,1993-07-01,employment
230,1993-07-01,joblessness
231,1993-07-01,joblessness
232,1993-07-01,joblessness
233,1993-07-01,employment
234,1993-07-01,employment
235,1993-07-01,joblessness
236,1993-07-01,joblessness
237,1993-07-01,employment
238,1993-07-01,employment
239,1993-07-01,FE
240,1993-07-01,joblessness
241,1993-07-01,employment
242,1993-07-01,employment
243,1993-07-01,FE
244,1993-07-01,FE
245,1993-07-01,FE
246,1993-07-01,FE
247,1993-07-01,joblessness
248,1993-07-01,employment
249,1993-07-01,employment
250,1993-07-01,joblessness
251,1993-07-01,employment
252,1993-07-01,joblessness
253,1993-07-01,joblessness
254,1993-07-01,joblessness
255,1993-07-01,FE
256,1993-07-01,school
257,1993-07-01,school
258,1993-07-01,school
259,1993-07-01,school
260,1993-07-01,school
261,1993-07-01,joblessness
262,1993-07-01,joblessness
263,1993-07-01,employment
264,1993-07-01,training
265,1993-07-01,training
266,1993-07-01,employment
267,1993-07-01,training
268,1993-07-01,training
269,1993-07-01,employment
270,1993-07-01,FE
271,1993-07-01,FE
272,1993-07-01,training
273,1993-07-01,school
274,1993-07-01,school
275,1993-07-01,FE
276,1993-07-01,joblessness
277,1993-07-01,joblessness
278,1993-07-01,employment
279,1993-07-01,joblessness
280,1993-07-01,employment
281,1993-07-01,employment
282,1993-07-01,employment
283,1993-07-01,employment
284,1993-07-01,FE
285,1993-07-01,FE
286,1993-07-01,FE
287,1993-07-01,FE
288,1993-07-01,training
289,1993-07-01,employment
290,1993-07-01,FE
291,1993-07-01,joblessness
292,1993-07-01,employment
293,1993-07-01,FE
294,1993-07-01,joblessness
295,1993-07-01,joblessness
296,1993-07-01,joblessness
297,1993-07-01,employment
298,1993-07-01,joblessness
299,1993-07-01,training
300,1993-07-01,employment
301,1993-07-01,employment
302,1993-07-01,employment
303,1993-07-01,employment
304,1993-07-01,joblessness
305,1993-07-01,employment
306,1993-07-01,employment
307,1993-07-01,joblessness
308,1993-07-01,school
309,1993-07-01,FE
310,1993-07-01,joblessness
311,1993-07-01,FE
312,1993-07-01,FE
313,1993-07-01,employment
314,1993-07-01,joblessness
315,1993-07-01,FE
316,1993-07-01,school
317,1993-07-01,joblessness
318,1993-07-01,school
319,1993-07-01,employment
320,1993-07-01,joblessness
321,1993-07-01,training
322,1993-07-01,training
323,1993-07-01,school
324,1993-07-01,joblessness
325,1993-07-01,employment
326,1993-07-01,training
327,1993-07-01,employment
328,1993-07-01,employment
329,1993-07-01,school
330,1993-07-01,FE
331,1993-07-01,FE
332,1993-07-01,school
333,1993-07-01,school
334,1993-07-01,training
335,1993-07-01,joblessness
336,1993-07-01,employment
337,1993-07-01,joblessness
338,1993-07-01,FE
339,1993-07-01,FE
340,1993-07-01,training
341,1993-07-01,joblessness
342,1993-07-01,employment
343,1993-07-01,training
344,1993-07-01,school
345,1993-07-01,employment
346,1993-07-01,FE
347,1993-07-01,school
348,1993-07-01,training
349,1993-07-01,school
350,1993-07-01,FE
351,1993-07-01,training
352,1993-07-01,employment
353,1993-07-01,FE
354,1993-07-01,training
355,1993-07-01,training
356,1993-07-01,training
357,1993-07-01,joblessness
358,1993-07-01,school
359,1993-07-01,school
360,1993-07-01,employment
